School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,3.17,3.32,6.49,1,1,1
St. Dominic,2.98,3.25,6.23,2,2,2
De Smet Jesuit,2.46,3.17,5.63,5,3,3
Liberty (Wentzville),2.83,2.35,5.17,3,21,4
Vianney,2.26,2.63,4.89,7,13,5
Glendale,2.55,2.3,4.85,4,23,6
Park Hill South,2.01,2.74,4.75,11,8,7
Ladue Horton Watkins,1.96,2.76,4.73,15,7,8
Lee's Summit West,1.63,3.04,4.67,24,5,9
SLUH,1.53,3.12,4.65,28,4,10
Lindbergh,1.83,2.71,4.55,18,10,11
Clayton,2.18,2.36,4.54,8,20,12
Principia,1.8,2.62,4.42,19,15,13
Liberty North,2.1,2.26,4.36,10,24,14
John Burroughs,1.96,2.38,4.34,14,19,15
Lee's Summit,1.65,2.63,4.27,23,14,16
Westminster Christian Academy,1.57,2.64,4.22,27,12,17
Rock Bridge,2.41,1.77,4.18,6,46,18
Blue Springs South,1.97,2.17,4.14,13,29,19
Christian Brothers College,1.93,2.18,4.11,16,27,20
Pembroke Hill,2.17,1.92,4.09,9,39,21
Francis Howell,1.78,2.3,4.07,20,22,22
Van Horn,1.86,2.19,4.05,17,25,23
Chaminade College Prep,1.38,2.66,4.04,35,11,24
Park Hill,1.15,2.8,3.95,46,6,25
St. Michael the Archangel,1.19,2.53,3.73,40,16,26
East (Kansas City),1.18,2.48,3.66,42,17,27
Blue Springs,1.75,1.81,3.55,22,44,28
Lee's Summit North,1.12,2.4,3.52,49,18,29
Staley,1.3,2.17,3.47,37,28,30
Jackson,1.61,1.85,3.45,25,42,31
Lafayette (Wildwood),1.53,1.91,3.44,29,40,32
Parkway West,1.47,1.97,3.43,32,36,33
Timberland,1.19,2.19,3.38,41,26,34
Oakville,0.6,2.72,3.32,76,9,35
Ft. Zumwalt West,1.47,1.81,3.28,31,43,36
Hickman,1.6,1.68,3.27,26,50,37
Francis Howell Central,1.12,2.15,3.27,50,30,38
Hannibal,1.17,2.06,3.24,44,33,39
Ft. Zumwalt South,1.07,2.12,3.18,51,31,40
Mehlville,1.37,1.75,3.12,36,48,41
Carthage,1.15,1.96,3.11,45,37,42
Ft. Zumwalt East,1.17,1.92,3.1,43,38,43
St. Francis Borgia,1.51,1.51,3.03,30,56,44
Rockwood Summit,1.0,2.02,3.02,56,35,45
Excelsior Springs,1.99,1.01,2.99,12,72,46
Springfield Catholic,1.24,1.61,2.85,39,54,47
Kirkwood,1.38,1.47,2.85,34,57,48
Lincoln College Prep,1.77,1.07,2.84,21,67,49
Marquette,1.06,1.68,2.74,52,49,50
Nixa,0.57,2.11,2.68,81,32,51
Ozark,0.91,1.76,2.66,61,47,52
Raymore-Peculiar,0.59,2.06,2.65,78,34,53
Duchesne,1.26,1.29,2.56,38,64,54
Liberty,1.12,1.39,2.51,48,59,55
Orchard Farm,0.87,1.64,2.5,65,51,56
Priory,0.59,1.9,2.5,77,41,57
Lutheran South,0.81,1.62,2.43,70,52,58
Webster Groves,0.89,1.37,2.26,62,60,59
Farmington,0.58,1.61,2.19,80,53,60
Eureka,0.4,1.78,2.18,84,45,61
Marshall,1.44,0.71,2.15,33,84,62
Parkway South,0.63,1.42,2.05,75,58,63
Capital City,0.65,1.37,2.02,73,61,64
Valley Park,0.64,1.35,1.99,74,62,65
Metro,0.86,1.03,1.89,66,70,66
Northeast (Kansas City),0.87,0.96,1.83,64,75,67
Francis Howell North,0.89,0.93,1.81,63,78,68
Parkway Central,1.13,0.68,1.81,47,87,69
MICDS,0.24,1.53,1.77,93,55,70
Perryville,0.68,1.06,1.74,72,68,71
Summit Christian Academy,0.85,0.7,1.55,67,85,72
Bayless,0.83,0.65,1.48,69,89,73
North Point,0.37,1.05,1.42,86,69,74
Kickapoo,1.02,0.33,1.34,54,103,75
Notre Dame (Cape Girardeau),0.12,1.19,1.31,99,65,76
Bolivar,0.42,0.85,1.26,83,80,77
Bishop DuBourg,-0.07,1.3,1.24,106,63,78
Rolla,0.2,1.03,1.23,96,71,79
Ft. Zumwalt North,0.28,0.92,1.2,89,79,80
Northwest (Cedar Hill),0.25,0.94,1.19,92,77,81
St. Pius X (Kansas City),0.84,0.34,1.18,68,102,82
Harrisonville,1.01,0.17,1.18,55,108,83
Carl Junction,1.0,0.08,1.08,58,109,84
Barstow,0.7,0.38,1.08,71,100,85
Grain Valley,0.23,0.85,1.07,94,81,86
Fort Osage,0.06,0.99,1.05,101,73,87
Seckman,0.07,0.97,1.04,100,74,88
Helias Catholic,0.21,0.83,1.03,95,82,89
Central (St. Joseph),0.58,0.44,1.02,79,96,90
Joplin,0.98,0.01,0.99,59,114,91
Veritas Christian Academy,0.43,0.52,0.95,82,92,92
Pattonville,-0.22,1.14,0.92,112,66,93
Sikeston,1.06,-0.32,0.74,53,127,94
Logan-Rogersville,-0.27,0.95,0.68,115,76,95
Smithville,0.04,0.59,0.64,102,91,96
North Kansas City,0.26,0.34,0.6,91,101,97
Raytown,0.39,0.07,0.45,85,110,98
St. Charles,-0.19,0.63,0.43,111,90,99
Holt,-0.13,0.4,0.26,110,99,100
Platte County,0.16,0.06,0.22,97,111,101
Fox,-0.51,0.69,0.18,132,86,102
Union,-0.32,0.46,0.14,118,95,103
Troy Buchanan,-0.41,0.52,0.11,122,93,104
Waynesville,0.27,-0.16,0.11,90,120,105
McCluer,0.95,-0.84,0.1,60,143,106
Central (Cape Girardeau),-0.43,0.51,0.07,125,94,107
Whitfield,1.0,-0.94,0.06,57,145,108
Missouri Military Academy,0.01,0.02,0.03,105,113,109
Washington,-0.47,0.43,-0.03,128,97,110
Maryville,-0.32,0.28,-0.05,119,105,111
Father Tolton,0.31,-0.39,-0.07,87,131,112
Poplar Bluff,-0.75,0.67,-0.08,140,88,113
Affton,0.14,-0.23,-0.09,98,125,114
Belton,-0.51,0.43,-0.09,133,98,115
Camdenton,-0.33,0.19,-0.15,120,106,116
Branson,-0.1,-0.08,-0.18,107,117,117
Lutheran St. Charles,-0.48,0.3,-0.18,130,104,118
Kearney,-0.99,0.78,-0.21,144,83,119
Kirksville,-0.27,-0.19,-0.46,114,122,120
Republic,-0.52,0.03,-0.5,135,112,121
Ritenour,-0.53,-0.02,-0.55,136,115,122
Lone Jack,-0.8,0.18,-0.62,142,107,123
Oak Park,-0.31,-0.36,-0.67,116,128,124
St. Pius X (Festus),-0.52,-0.15,-0.67,134,119,125
Faith Christian Academy,-0.47,-0.2,-0.68,129,123,126
Parkway North,-0.34,-0.36,-0.7,121,129,127
Monett,0.02,-0.73,-0.71,104,137,128
Warrensburg,-0.26,-0.46,-0.72,113,133,129
Southern Boone,-0.5,-0.31,-0.81,131,126,130
Pacific,-0.42,-0.39,-0.81,124,132,131
Moberly,-0.46,-0.37,-0.84,126,130,132
St. Paul Lutheran (Concordia),-0.69,-0.18,-0.87,138,121,133
Warrenton,0.31,-1.22,-0.91,88,153,134
Osage,-1.01,-0.12,-1.13,146,118,135
DeSoto,-0.13,-1.01,-1.14,109,149,136
West Plains,-0.58,-0.73,-1.31,137,138,137
Jefferson City,-1.4,-0.04,-1.44,160,116,138
Sacred Heart,-1.24,-0.23,-1.47,153,124,139
Bishop LeBlond,-0.46,-1.01,-1.48,127,148,140
Gateway Science Charter,-0.32,-1.2,-1.52,117,152,141
Central (Springfield),-0.99,-0.57,-1.56,145,134,142
Benton,-0.71,-0.98,-1.69,139,146,143
Winfield,-1.07,-0.69,-1.76,148,136,144
Grandview,-0.42,-1.39,-1.81,123,158,145
Center,-1.18,-0.64,-1.81,151,135,146
Odessa,0.02,-1.85,-1.82,103,164,147
Winnetonka,-0.81,-1.13,-1.94,143,150,148
Oak Grove,-0.12,-1.86,-1.99,108,165,149
Savannah,-1.24,-0.82,-2.06,154,142,150
Cristo Rey,-0.77,-1.37,-2.14,141,157,151
Webb City,-1.37,-0.87,-2.24,158,144,152
Windsor (Imperial),-1.14,-1.13,-2.27,149,151,153
Guadalupe Centers Charter,-1.53,-0.79,-2.32,163,141,154
Hillcrest,-1.73,-0.77,-2.51,165,140,155
Brentwood,-1.32,-1.26,-2.59,156,154,156
William Chrisman,-1.91,-0.77,-2.68,170,139,157
Willard,-1.48,-1.29,-2.77,161,156,158
Clinton,-1.27,-1.55,-2.82,155,159,159
Gateway,-1.07,-1.78,-2.85,147,162,160
Pleasant Hill,-1.9,-1.0,-2.9,168,147,161
Hillsboro,-1.17,-1.77,-2.95,150,161,162
McDonald County,-1.9,-1.28,-3.18,169,155,163
Greenwood,-1.39,-2.09,-3.48,159,169,164
Cassville,-1.98,-1.6,-3.59,172,160,165
University City,-1.35,-2.34,-3.69,157,172,166
Fulton,-1.82,-1.88,-3.7,166,166,167
Mexico,-1.18,-2.64,-3.82,152,176,168
St. Charles West,-2.01,-2.18,-4.2,173,171,169
Lebanon,-2.29,-1.96,-4.25,177,167,170
New Covenant Academy,-2.21,-2.14,-4.35,175,170,171
Maplewood-Richmond Hts.,-2.55,-1.81,-4.36,182,163,172
Crocker,-1.93,-2.58,-4.51,171,174,173
Fatima,-2.59,-2.06,-4.65,184,168,174
Raytown South,-2.33,-2.7,-5.03,178,177,175
La Monte,-1.52,-3.59,-5.11,162,189,176
Hazelwood Central,-2.42,-2.71,-5.12,180,178,177
Wright City,-2.35,-2.77,-5.12,179,179,178
Frontier STEM,-2.43,-3.12,-5.55,181,181,179
Hancock,-2.56,-3.15,-5.71,183,182,180
Ruskin,-1.62,-4.12,-5.74,164,194,181
Lutheran (Kansas City),-2.17,-3.68,-5.85,174,191,182
Fredericktown,-2.25,-3.66,-5.91,176,190,183
North County,-3.57,-2.39,-5.96,193,173,184
Fair Grove,-3.17,-2.92,-6.1,188,180,185
Smithton,-3.69,-2.6,-6.29,194,175,186
Dixon,-1.87,-4.52,-6.39,167,199,187
Chillicothe,-2.9,-3.5,-6.4,186,186,188
Parkview,-3.19,-3.25,-6.44,189,184,189
Festus,-3.78,-3.54,-7.31,195,187,190
Knob Noster,-3.12,-4.33,-7.44,187,196,191
Green Ridge,-4.38,-3.2,-7.58,204,183,192
Marshfield,-3.86,-3.8,-7.66,198,192,193
Lutheran North,-3.55,-4.27,-7.82,192,195,194
Hazelwood East,-3.49,-4.38,-7.87,191,197,195
Northland Christian,-3.4,-4.65,-8.05,190,201,196
Lafayette (St. Joseph),-4.34,-3.84,-8.19,203,193,197
Boonville,-4.03,-4.45,-8.48,200,198,198
