School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Valley Park,0.64,1.35,1.99,3,1,1
Metro,0.86,1.03,1.89,1,2,2
St. Pius X (Kansas City),0.84,0.34,1.18,2,3,3
Missouri Military Academy,0.01,0.02,0.03,4,5,4
Lone Jack,-0.8,0.18,-0.62,9,4,5
Faith Christian Academy,-0.47,-0.2,-0.68,7,6,6
Sacred Heart,-1.24,-0.23,-1.47,10,7,7
Bishop LeBlond,-0.46,-1.01,-1.48,6,8,8
Gateway Science Charter,-0.32,-1.2,-1.52,5,9,9
Cristo Rey,-0.77,-1.37,-2.14,8,11,10
Brentwood,-1.32,-1.26,-2.59,11,10,11
Greenwood,-1.39,-2.09,-3.48,12,14,12
Maplewood-Richmond Hts.,-2.55,-1.81,-4.36,18,12,13
Crocker,-1.93,-2.58,-4.51,15,15,14
Fatima,-2.59,-2.06,-4.65,20,13,15
La Monte,-1.52,-3.59,-5.11,13,23,16
Frontier STEM,-2.43,-3.12,-5.55,17,18,17
Hancock,-2.56,-3.15,-5.71,19,19,18
Lutheran (Kansas City),-2.17,-3.68,-5.85,16,24,19
Fair Grove,-3.17,-2.92,-6.1,21,17,20
Smithton,-3.69,-2.6,-6.29,23,16,21
Dixon,-1.87,-4.52,-6.39,14,25,22
Green Ridge,-4.38,-3.2,-7.58,29,20,23
Northland Christian,-3.4,-4.65,-8.05,22,27,24
STEAM Academy,-5.07,-3.41,-8.48,34,21,25
Cardinal Ritter,-4.95,-3.58,-8.54,33,22,26
Crossroads College Preparatory,-3.86,-4.83,-8.69,25,28,27
Calvary Lutheran,-4.44,-4.59,-9.03,30,26,28
Cameron,-4.0,-5.21,-9.21,26,29,29
Canton,-4.12,-5.27,-9.4,28,30,30
Paseo Academy,-4.04,-5.83,-9.87,27,31,31
Thomas Jefferson Independent Day,-3.79,-6.73,-10.53,24,36,32
KIPP St. Louis Sr.,-4.69,-6.54,-11.23,31,35,33
St. Paul Lutheran (Farmington),-5.19,-6.31,-11.5,35,34,34
Iberia,-5.91,-5.9,-11.82,36,32,35
Belle,-6.3,-6.0,-12.3,37,33,36
Cole Camp,-4.89,-7.83,-12.71,32,37,37
