Date,Home Team,Home Score,Away Team,Away Score
2024-08-29,Oakville,1,Eureka,0
2024-08-29,Ft. Zumwalt South,5,Helias Catholic,0
2024-08-29,Christian Brothers College,1,Ladue Horton Watkins,2
2024-08-29,DeSoto,3,Union,4
2024-08-30,Fox,2,Affton,3
2024-08-30,St. Pius X (Festus),0,Bishop DuBourg,2
2024-08-30,Springfield Catholic,5,Central (Springfield),1
2024-08-30,Savannah,1,Clinton,0
2024-08-30,Iberia,1,Crocker,9
2024-08-30,Oakville,1,Eureka,0
2024-08-30,Ft. Zumwalt East,2,Francis Howell Central,2
2024-08-30,Webster Groves,2,Ft. Zumwalt South,0
2024-08-30,Valley Park,6,Gateway Science Charter,2
2024-08-30,Aurora,0,Greenwood,8
2024-08-30,Nixa,0,Hickman,1
2024-08-30,Republic,4,Hillcrest,0
2024-08-30,Whitfield,0,John Burroughs,11
2024-08-30,Camdenton,1,Joplin,2
2024-08-30,Southern Boone,2,Kirksville,1
2024-08-30,Parkway West,1,Lafayette (Wildwood),2
2024-08-30,Gateway,4,Maplewood-Richmond Hts.,3
2024-08-30,Sacred Heart,0,Marshall,6
2024-08-30,Priory,1,MICDS,0
2024-08-30,Republic,3,Monett,2
2024-08-30,Hillsboro,0,Northwest (Cedar Hill),6
2024-08-30,St. Dominic,2,Principia,1
2024-08-30,Kickapoo,1,Rock Bridge,4
2024-08-30,Jackson,1,Rockwood Summit,2
2024-08-30,Branson,2,Webb City,3
2024-08-30,New Covenant Academy,1,West Plains,5
2024-08-30,Logan-Rogersville,5,Willard,3
2024-08-31,Vianney,4,Bayless,0
2024-08-31,Harrisonville,3,Belton,4
2024-08-31,Camdenton,0,Carthage,3
2024-08-31,SLUH,2,Chaminade College Prep,1
2024-08-31,Sacred Heart,0,Clinton,3
2024-08-31,Marshfield,1,Fair Grove,2
2024-08-31,Rolla,1,Hannibal,0
2024-08-31,Kickapoo,1,Hickman,4
2024-08-31,Monett,3,Hillcrest,0
2024-08-31,Moberly,2,Jefferson City,0
2024-08-31,Orchard Farm,1,Lindbergh,2
2024-08-31,Westminster Christian Academy,3,Lutheran South,1
2024-08-31,Priory,1,MICDS,0
2024-08-31,Branson,3,Monett,4
2024-08-31,Nixa,1,Rock Bridge,3
2024-08-31,Marshall,2,Savannah,0
2024-08-31,Liberty North,1,Van Horn,2
2024-08-31,Republic,2,Webb City,0
2024-08-31,Farmington,7,Windsor (Imperial),0
2024-09-02,St. Michael the Archangel,4,Center,0
2024-09-02,Pleasant Hill,3,Raytown South,2
2024-09-02,St. Pius X (Kansas City),2,St. Charles,1
2024-09-03,Bishop DuBourg,1,Affton,0
2024-09-03,Lutheran (Kansas City),0,Barstow,8
2024-09-03,Webster Groves,4,Bayless,1
2024-09-03,Iberia,0,Belle,1
2024-09-03,Lafayette (St. Joseph),0,Benton,5
2024-09-03,Park Hill,1,Blue Springs South,1
2024-09-03,Nixa,4,Branson,1
2024-09-03,Green Ridge,2,Calvary Lutheran,1
2024-09-03,Rolla,1,Camdenton,3
2024-09-03,Jefferson City,1,Capital City,5
2024-09-03,Webb City,1,Carl Junction,2
2024-09-03,Blue Springs,2,Central (St. Joseph),0
2024-09-03,Cameron,2,Chillicothe,4
2024-09-03,Boonville,0,Clinton,8
2024-09-03,East (Kansas City),2,Cristo Rey,4
2024-09-03,Brentwood,1,DeSoto,2
2024-09-03,Fredericktown,0,Festus,1
2024-09-03,St. Pius X (Festus),3,Fox,1
2024-09-03,Liberty (Wentzville),0,Francis Howell,4
2024-09-03,Orchard Farm,0,Ft. Zumwalt East,2
2024-09-03,Troy Buchanan,2,Ft. Zumwalt North,4
2024-09-03,Fatima,2,Fulton,1
2024-09-03,Fort Osage,5,Grandview,1
2024-09-03,Paseo Academy,0,Guadalupe Centers Charter,8
2024-09-03,De Smet Jesuit,2,Hickman,1
2024-09-03,Lebanon,2,Hillcrest,3
2024-09-03,Seckman,2,Hillsboro,1
2024-09-03,Mehlville,1,Ladue Horton Watkins,2
2024-09-03,Kirkwood,0,Lafayette (Wildwood),3
2024-09-03,Parkview,0,Logan-Rogersville,8
2024-09-03,SLUH,2,Marquette,3
2024-09-03,Lone Jack,0,Maryville,1
2024-09-03,Marshfield,0,McDonald County,8
2024-09-03,Willard,0,Moberly,7
2024-09-03,St. Charles West,0,North County,1
2024-09-03,Ruskin,0,North Kansas City,8
2024-09-03,Ft. Zumwalt South,2,North Point,1
2024-09-03,Faith Christian Academy,6,Northland Christian,0
2024-09-03,Northwest (Cedar Hill),0,Oakville,1
2024-09-03,Southern Boone,1,Osage,2
2024-09-03,Lincoln College Prep,2,Park Hill,1
2024-09-03,Pattonville,2,Parkway North,1
2024-09-03,Eureka,0,Parkway South,3
